binder,extra water,alkaline solution,molarity of mix,fine aggregate,coarse aggregate,age,curing temperature,compressive strength,water,pozzolan,foaming agent,density,concrete type,water binder ratio
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,20.5,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,21.7,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,22.9,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,24.1,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,25.29,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,25.92,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,26.58,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,27.17,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,27.79,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,28.37,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,28.93,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,29.52,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,30.09,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,29.15,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,28.21,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,27.27,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,1.0,28.0,26.33,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,53.21,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,53.75,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,54.32,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,54.78,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,55.35,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,55.89,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,56.45,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,56.95,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,57.48,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,58.56,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,59.63,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,60.71,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,61.79,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,60.24,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,58.76,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,57.25,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,7.0,28.0,55.75,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,68.58,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,69.05,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,69.52,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,69.99,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,70.45,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,70.92,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,71.39,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,71.86,,,,,0,0.48144384767987614
413.34,13.0,186.0,8.0,640.66,1281.32,28.0,28.0,72.32,,,,,0,0.48144384767987614
